,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
14,800,0.3,1.01e-13,2.23e-16,9.318361831989936,0.20744192151200946,6.3110068052080815e-06,2.978101556526799e-08,-11.973215337053755,0.0047189008797600355,0.0047189008797600355
15,800,0.33333,7.05e-14,3.15e-16,9.318361831989936,0.22286389289933062,4.343402587644499e-06,2.6461388539675802e-08,-12.346852510654715,0.006092317717668963,0.006092317717668963
16,825,0.25,5.64e-14,2.43e-16,9.106224104175203,0.23520147000918756,4.931791472483646e-06,2.9357381872634328e-08,-12.219808254074342,0.005952681097007124,0.005952681097007124
17,850,0.26667,5.98e-14,2.17e-16,8.903530249744023,0.24828280176751105,5.174251453421493e-06,2.826742018088632e-08,-12.17181587595702,0.0054630936349632534,0.0054630936349632534
18,875,0.25,5.68e-14,1.63e-16,8.70966337151069,0.2607078794242464,5.518948161721231e-06,2.7468104443760632e-08,-12.107323266245126,0.004977054257236214,0.004977054257236214
19,900,0.25,6.56e-14,1.51e-16,8.524059156970548,0.27505796911230695,6.709296953141145e-06,3.1269590114392676e-08,-11.912016388454997,0.004660635880746483,0.004660635880746483
20,925,0.25,8.02e-14,1.98e-16,8.346200392271419,0.29260182876142976,8.690817986054572e-06,4.1121166146358705e-08,-11.653243493536381,0.004731564533090257,0.004731564533090257
21,950,0.25,9.78e-14,1.74e-16,8.175612148959653,0.31399571247320296,1.1324985336885186e-05,4.9841993339533976e-08,-11.38849918135229,0.00440106471283454,0.00440106471283454
22,975,0.25,1.18e-13,1.79e-16,8.011857549172776,0.33980837380233625,1.472745776220791e-05,6.319585515205776e-08,-11.125796931508651,0.004291022671558732,0.004291022671558732
23,1000,0.25,1.4e-13,1.67e-16,7.854534029768684,0.3704335652097826,1.8981586002225098e-05,7.933616219098028e-08,-10.872041206512513,0.004179638212617227,0.004179638212617227
24,1025,0.25,1.66e-13,2.92e-16,7.703270038131186,0.40674629216432606,2.462792215694808e-05,1.0726260090257155e-07,-10.611629711674404,0.004355324830857093,0.004355324830857093
25,1050,0.25,1.95e-13,1.81e-16,7.557722102558288,0.4494028087675548,3.187000739766655e-05,1.3061634827232252e-07,-10.353845197414989,0.004098409725561782,0.004098409725561782
26,1075,0.25,2.12e-13,2.98e-16,7.4175722286095755,0.4957780986131163,3.825154218057288e-05,1.6124985243845312e-07,-10.171326680058145,0.00421551245377888,0.00421551245377888
27,1100,0.25,2.26e-13,3.5e-16,7.282525579871098,0.5452159075994225,4.491121621207223e-05,1.910561562120366e-07,-10.010822990134182,0.004254085556486896,0.004254085556486896
28,1100,0.5,2.98e-13,4.82e-16,7.282525579871098,0.6104038150238439,3.483467428120914e-05,1.7318073126327335e-07,-10.264897279857207,0.004971504250771542,0.004971504250771542
29,1100,1.0,3.09e-13,3.16e-16,7.282525579871098,0.6779979874874218,2.145228209504953e-05,1.2248043565643046e-07,-10.749679526871809,0.005709436185565304,0.005709436185565304
30,1100,2.0167,3.03e-13,6.54e-16,7.282525579871098,0.7442796517478234,1.2865810143961136e-05,9.266660633073706e-08,-11.260937141499612,0.007202547316791571,0.007202547316791571
31,1100,3.1167,2.96e-13,7.99e-16,7.282525579871098,0.8090300564378528,1.0546263121908744e-05,9.795708282783908e-08,-11.45973896724227,0.009288321531096983,0.009288321531096983
32,1100,8.85,4.63e-13,7.13e-16,7.282525579871098,0.9103119394496215,9.614106926345126e-06,1.4878709564034422e-07,-11.5522790666129,0.015475914380838568,0.015475914380838568
33,1100000000,110000000.0,4.1e-13,9.02e-15,9.090906833471634e-06,1.0,inf,0.0,inf,0.0,0.0
